epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
41,241.7338,243.2416,241.3385,242.108,241.9656,244.6998,240.8116,241.0933,241.5544,242.4694,241.5439,241.7021,242.4876,241.0139,242.1597,241.2192,240.9995,240.989,241.0757,240.0695,241.2979,241.1214,240.7279,240.7797,245.9655,241.7096,241.9901,241.7412,241.5488,241.5266,241.6384,241.1589
42,247.6382,249.053,247.1966,248.08,247.9186,250.6226,246.6567,246.8589,247.5164,248.4664,247.4736,247.5488,248.3095,246.7967,247.9797,247.1407,246.9803,246.9047,246.8438,245.9967,247.271,246.9383,246.6158,246.7337,251.9075,247.7026,248.0331,247.7326,247.5297,247.4491,247.5121,247.0151
43,253.5029,255.0499,253.1109,253.8668,253.8188,256.4899,252.5852,252.751,253.3177,254.2665,253.3412,253.5999,254.343,252.7986,253.8943,252.918,252.8259,252.7313,252.8183,251.7636,253.1111,252.897,252.3838,252.5129,257.7718,253.5134,253.8328,253.5116,253.2945,253.2372,253.3434,252.8894
44,259.4327,260.8187,259.0287,259.8033,259.7113,262.5228,258.3614,258.6293,259.2626,260.1695,259.1463,259.3862,260.1828,258.5768,260.4039,258.9575,258.8208,258.5838,258.6145,257.7308,258.9771,258.6943,258.3848,258.4079,263.6671,259.4273,259.8344,259.5524,259.3197,259.2666,259.3122,258.8584
45,265.317,266.7956,264.8194,265.6439,265.6903,268.3402,264.3256,264.4204,265.17,266.0853,265.1082,265.3697,266.2297,264.4591,266.4867,264.7345,264.6852,264.4768,264.5188,263.4756,264.9466,264.6014,264.3376,264.3422,269.621,265.2856,265.6242,265.3452,265.129,265.0161,265.0872,264.6561
46,271.214,272.5888,270.8305,271.5344,271.5248,274.3837,270.1592,270.4241,271.0204,271.9224,270.8779,271.1672,272.0971,270.3646,272.3948,270.7404,270.5425,270.2357,270.3957,269.3955,270.7277,270.4691,270.2948,270.1276,275.4511,271.1467,271.6057,271.3829,271.1179,270.999,271.0525,270.6603
47,277.1067,278.488,276.6397,277.4902,277.6098,280.2045,276.1689,276.1896,276.9919,277.9664,276.8314,277.1794,278.0127,276.155,278.1854,276.5025,276.5634,276.2073,276.199,275.1318,276.7398,276.2963,276.0734,276.1347,281.508,277.1441,277.4718,277.1853,276.961,276.8018,276.8245,276.4516
48,283.0001,284.4754,282.6424,283.2931,283.4327,286.2446,282.0048,282.158,282.7571,283.7698,282.6091,282.9975,284.0071,282.1416,284.1917,282.3825,282.3876,281.9765,282.1859,280.998,282.5243,282.2683,282.0256,281.9038,287.2987,282.9082,283.3527,283.1017,282.8822,282.7599,282.8638,282.4587
49,288.9074,290.2731,288.4226,289.3028,289.4514,292.1658,287.9065,287.9417,288.7994,289.821,288.5571,288.9119,289.8253,287.931,289.9824,288.3219,288.4237,287.9391,287.9957,286.8913,288.486,288.0515,287.9038,287.9159,293.3322,288.9235,289.269,289.0143,288.7901,288.6507,288.7074,288.2202
50,294.7775,296.2579,294.3458,295.0893,295.2816,298.0971,293.8108,293.8943,294.6436,295.6573,294.3542,294.8742,295.8772,293.9175,295.9729,294.1348,294.2041,293.6784,294.0309,292.6367,294.2837,294.0207,293.7791,293.7141,299.1039,294.727,295.0814,294.8104,294.6147,294.4939,294.6203,294.0948
