epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
41,249.5242,251.8093,249.0191,248.4461,248.9154,249.0036,249.2727,249.1621,250.2515,248.9091,248.644,249.6646,247.9524,248.9271,248.9782,250.0659,251.3904,248.0119,248.0124,248.6709,252.3915,249.7947,249.6335,249.3389,249.2729,249.2259,250.3615,251.7919,249.8397,249.9024,249.8148,248.7767
42,255.6117,258.0176,255.2169,254.4032,254.8379,255.0065,255.2155,255.1216,256.4279,254.8571,254.8419,255.6044,253.9943,255.1709,255.0331,256.0892,257.3984,253.9963,254.3023,254.7067,258.6045,255.9849,255.728,255.3713,255.2261,255.2157,256.4504,257.9405,256.0685,256.225,256.0317,254.8757
43,261.6876,263.9573,261.1681,260.5853,260.8747,261.1417,261.2694,261.3501,262.3781,261.0498,260.7845,261.71,260.0137,261.1114,261.2566,262.2145,263.523,259.9603,260.6422,260.7893,264.5669,262.0282,261.832,261.5437,261.4793,261.4452,262.4702,263.9092,262.0352,262.1871,262.0553,260.9823
44,267.7465,270.0166,267.193,266.5229,267.0088,267.1025,267.6276,267.2845,268.4716,267.0007,266.9066,267.8553,266.2922,267.1457,267.2419,268.3015,269.4483,266.1182,266.551,266.7365,270.7148,268.0579,267.7936,267.5058,267.4038,267.4508,268.7446,270.1886,268.1524,268.2891,268.1011,266.9149
45,273.8345,276.0763,273.2827,272.6946,272.9417,273.2311,273.7039,273.2858,274.5173,273.0392,272.9678,273.7924,272.2437,273.2555,273.4452,274.2914,275.5685,272.047,272.6267,272.9185,276.8703,274.2484,274.0484,273.6821,273.5042,273.4791,274.7538,276.1779,274.2703,274.4674,274.3093,273.1288
46,279.8877,282.0061,279.1999,278.7465,279.1121,279.207,279.8627,279.385,280.4914,279.182,278.9151,279.97,278.3328,279.2186,279.5214,280.5477,281.5466,278.1258,278.6744,279.1394,282.8364,280.2265,280.0205,279.7385,279.6258,279.654,280.8977,282.2552,280.2358,280.4372,280.2913,279.1142
47,285.9731,288.1741,285.3559,284.6819,285.1316,285.1624,285.844,285.3277,286.6935,285.1053,285.0977,285.9548,284.6888,285.3852,285.5415,286.7196,287.5375,284.1969,284.5946,285.1773,289.1208,286.379,286.0826,285.7405,285.6149,285.5927,287.015,288.4262,286.4922,286.6797,286.4731,285.1788
48,292.0689,294.3584,291.3328,290.8779,291.1133,291.3531,291.8117,291.5225,292.6345,291.37,291.0148,291.9645,290.6935,291.3779,291.7614,292.9197,293.7014,290.3892,290.8091,291.312,295.0925,292.4339,292.2515,292.0027,291.8354,291.7504,293.0076,294.392,292.4598,292.7065,292.5459,291.339
49,298.1296,300.4456,297.3392,296.8132,297.2919,297.3031,297.9469,297.5973,298.7062,297.8231,297.037,298.1065,296.8364,297.415,297.7306,299.0395,299.647,296.5737,296.7295,297.23,301.1754,298.4079,298.2227,297.985,297.8008,297.7775,299.302,300.6012,298.5773,298.7628,298.5013,297.2916
50,304.2184,306.5977,303.4631,302.9028,303.2348,303.3712,303.8792,303.8157,304.8297,303.7569,303.1345,304.0489,302.8048,303.593,303.8708,305.0131,305.7257,302.4956,302.7719,303.3628,307.3323,304.6384,304.4032,304.115,303.833,303.7758,305.2917,306.6741,304.7814,304.9835,304.7824,303.487
