epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
44,263.5671,266.0079,265.6924,263.0394,266.2412,266.3872,266.5164,265.3241,265.6425,267.534,268.0105,266.7451,266.594,265.6111,267.4113,267.6818,266.7646,268.0462,267.8409,260.8949,257.2229,256.9846,256.7781,257.262,257.0533,256.7664,257.1719,256.7968,258.0368,256.8579,273.6189,268.0452
45,269.5575,272.1248,271.5994,269.1096,272.2085,272.4989,272.6293,271.2473,271.7457,273.6065,274.1728,272.7411,272.56,271.7312,273.5618,273.6723,272.9003,274.031,274.0113,266.7938,263.0078,262.8338,262.5847,263.1114,262.8266,262.709,262.9195,262.7276,263.7798,262.8431,279.8019,274.1917
46,275.5224,278.0378,277.7505,275.1289,278.2959,278.4219,278.5416,277.3513,277.8506,279.6549,280.1382,278.7882,278.7048,277.7093,279.5227,279.878,278.8707,280.2174,280.0166,272.555,268.9395,268.586,268.4863,268.8788,268.7924,268.4505,268.8449,268.469,269.7226,268.5836,285.811,280.194
47,281.5212,284.1473,283.6644,281.1387,284.3659,284.5572,284.6029,283.2813,283.8657,285.6466,286.3602,284.8498,284.6665,283.7359,285.6947,285.8654,285.0881,286.2039,286.1307,278.5958,274.6871,274.5559,274.2168,274.8288,274.5351,274.3908,274.5911,274.4573,275.4609,274.5076,292.066,286.398
48,287.5011,290.0826,289.7812,287.2251,290.3301,290.5203,290.6247,289.3301,289.9787,291.7866,292.3921,290.8521,290.8448,289.7451,291.6439,292.0228,291.1412,292.4661,292.2415,284.378,280.6064,280.3027,280.1383,280.5688,280.5342,280.1373,280.4749,280.1864,281.3697,280.2767,298.1534,292.3978
49,293.4867,296.1111,295.8287,293.1771,296.4945,296.629,296.6787,295.3138,295.9089,297.7406,298.6091,296.9843,296.8114,295.6903,297.8042,298.0288,297.2285,298.4486,298.3448,290.2998,286.3415,286.2361,285.8801,286.5106,286.3028,286.0121,286.2798,286.025,287.2419,286.1351,304.3446,298.645
50,299.4719,302.1572,301.8125,299.3357,302.5051,302.5579,302.8078,301.3422,302.019,303.8936,304.6131,302.9403,303.0021,301.7886,303.7891,304.1754,303.3784,304.5281,304.4513,296.0854,292.2632,291.9873,291.8013,292.2498,292.217,291.8315,292.0735,291.8981,293.0425,292.0244,310.4042,304.6544
51,305.4526,308.1008,307.9073,305.2564,308.6825,308.6083,308.7253,307.4311,307.9678,309.8738,310.7245,309.12,308.996,307.71,309.9421,310.2032,309.4838,310.5762,310.49,301.9228,298.0618,297.8952,297.5367,298.145,298.0275,297.6129,297.9607,297.6496,299.0346,297.7883,316.7436,310.8535
52,311.4493,314.2176,313.865,311.3777,314.7138,314.5754,314.8737,313.3854,314.1153,316.0051,316.8918,315.0919,315.1093,313.815,315.9901,316.2864,315.6706,316.6128,316.6986,307.8522,303.8826,303.7108,303.3858,303.9508,303.829,303.5565,303.6993,303.5988,304.7842,303.7763,322.7627,316.8435
53,317.4248,320.1478,319.9707,317.3457,320.8823,320.6064,320.847,319.4936,320.0845,322.027,322.954,321.2798,321.1388,319.7479,322.0875,322.3987,321.6435,322.7612,322.6774,313.6061,309.7654,309.5201,309.2198,309.7518,309.7439,309.3036,309.6629,309.3566,310.7401,309.5119,328.92,322.9723
